CountryCode;question_code;subset;answer;Mean
IS;Y11_Q41;All;Mean;8,3
ME;Y11_Q41;All;Mean;7,6
MK;Y11_Q41;All;Mean;7,2
RS;Y11_Q41;All;Mean;7,1
TR;Y11_Q41;All;Mean;6,9
XK;Y11_Q41;All;Mean;6,3
AT;Y11_Q41;All;Mean;7,7
BE;Y11_Q41;All;Mean;7,6
BG;Y11_Q41;All;Mean;6,3
CY;Y11_Q41;All;Mean;7,6
CZ;Y11_Q41;All;Mean;7,1
DE;Y11_Q41;All;Mean;7,4
DK;Y11_Q41;All;Mean;8,2
EE;Y11_Q41;All;Mean;6,8
EL;Y11_Q41;All;Mean;6,5
ES;Y11_Q41;All;Mean;7,8
FI;Y11_Q41;All;Mean;8,1
FR;Y11_Q41;All;Mean;7,4
HR;Y11_Q41;All;Mean;7,3
HU;Y11_Q41;All;Mean;6,9
IE;Y11_Q41;All;Mean;7,7
IT;Y11_Q41;All;Mean;7,1
LT;Y11_Q41;All;Mean;7
LU;Y11_Q41;All;Mean;7,8
LV;Y11_Q41;All;Mean;6,7
MT;Y11_Q41;All;Mean;7,2
NL;Y11_Q41;All;Mean;7,7
PL;Y11_Q41;All;Mean;7,3
PT;Y11_Q41;All;Mean;7,2
RO;Y11_Q41;All;Mean;7
SE;Y11_Q41;All;Mean;7,8
SI;Y11_Q41;All;Mean;7,1
SK;Y11_Q41;All;Mean;6,9
UK;Y11_Q41;All;Mean;7,6
IS;Y11_Q40b;All;Mean;8,1
ME;Y11_Q40b;All;Mean;7,4
MK;Y11_Q40b;All;Mean;7
RS;Y11_Q40b;All;Mean;7,1
TR;Y11_Q40b;All;Mean;6,8
XK;Y11_Q40b;All;Mean;6,5
AT;Y11_Q40b;All;Mean;8
BE;Y11_Q40b;All;Mean;7,7
BG;Y11_Q40b;All;Mean;6,8
CY;Y11_Q40b;All;Mean;7,8
CZ;Y11_Q40b;All;Mean;7,5
DE;Y11_Q40b;All;Mean;7,6
DK;Y11_Q40b;All;Mean;8,4
EE;Y11_Q40b;All;Mean;7,3
EL;Y11_Q40b;All;Mean;6,6
ES;Y11_Q40b;All;Mean;7,3
FI;Y11_Q40b;All;Mean;8,1
FR;Y11_Q40b;All;Mean;7,3
HR;Y11_Q40b;All;Mean;7,2
HU;Y11_Q40b;All;Mean;7,1
IE;Y11_Q40b;All;Mean;7,6
IT;Y11_Q40b;All;Mean;7,2
LT;Y11_Q40b;All;Mean;7,4
LU;Y11_Q40b;All;Mean;7,7
LV;Y11_Q40b;All;Mean;7,2
MT;Y11_Q40b;All;Mean;7,6
NL;Y11_Q40b;All;Mean;7,9
PL;Y11_Q40b;All;Mean;7
PT;Y11_Q40b;All;Mean;7,3
RO;Y11_Q40b;All;Mean;7,9
SE;Y11_Q40b;All;Mean;7,7
SI;Y11_Q40b;All;Mean;7,3
SK;Y11_Q40b;All;Mean;7,3
UK;Y11_Q40b;All;Mean;7,5
IS;Y11_Q40d;All;Mean;8,2
ME;Y11_Q40d;All;Mean;7,7
MK;Y11_Q40d;All;Mean;7,5
RS;Y11_Q40d;All;Mean;7,4
TR;Y11_Q40d;All;Mean;6,9
XK;Y11_Q40d;All;Mean;6,4
AT;Y11_Q40d;All;Mean;8,3
BE;Y11_Q40d;All;Mean;7,6
BG;Y11_Q40d;All;Mean;6,9
CY;Y11_Q40d;All;Mean;8,6
CZ;Y11_Q40d;All;Mean;7,5
DE;Y11_Q40d;All;Mean;7,7
DK;Y11_Q40d;All;Mean;8,4
EE;Y11_Q40d;All;Mean;7,2
EL;Y11_Q40d;All;Mean;7,1
ES;Y11_Q40d;All;Mean;7,9
FI;Y11_Q40d;All;Mean;8,3
FR;Y11_Q40d;All;Mean;7,6
HR;Y11_Q40d;All;Mean;7,8
HU;Y11_Q40d;All;Mean;7
IE;Y11_Q40d;All;Mean;8,2
IT;Y11_Q40d;All;Mean;7,6
LT;Y11_Q40d;All;Mean;7
LU;Y11_Q40d;All;Mean;8,2
LV;Y11_Q40d;All;Mean;6,6
MT;Y11_Q40d;All;Mean;8,1
NL;Y11_Q40d;All;Mean;7,9
PL;Y11_Q40d;All;Mean;6,9
PT;Y11_Q40d;All;Mean;7,4
RO;Y11_Q40d;All;Mean;7,8
SE;Y11_Q40d;All;Mean;8,2
SI;Y11_Q40d;All;Mean;7,7
SK;Y11_Q40d;All;Mean;7,7
UK;Y11_Q40d;All;Mean;7,9
IS;Y11_Q40h;All;Mean;4
ME;Y11_Q40h;All;Mean;3,6
MK;Y11_Q40h;All;Mean;3,6
RS;Y11_Q40h;All;Mean;2,6
TR;Y11_Q40h;All;Mean;4,9
XK;Y11_Q40h;All;Mean;3,8
AT;Y11_Q40h;All;Mean;5,7
BE;Y11_Q40h;All;Mean;4,8
BG;Y11_Q40h;All;Mean;3
CY;Y11_Q40h;All;Mean;3,4
CZ;Y11_Q40h;All;Mean;3,8
DE;Y11_Q40h;All;Mean;5,7
DK;Y11_Q40h;All;Mean;5,6
EE;Y11_Q40h;All;Mean;3,9
EL;Y11_Q40h;All;Mean;2,2
ES;Y11_Q40h;All;Mean;3,4
FI;Y11_Q40h;All;Mean;6,2
FR;Y11_Q40h;All;Mean;3,9
HR;Y11_Q40h;All;Mean;2,8
HU;Y11_Q40h;All;Mean;2,8
IE;Y11_Q40h;All;Mean;3,1
IT;Y11_Q40h;All;Mean;3,7
LT;Y11_Q40h;All;Mean;3,2
LU;Y11_Q40h;All;Mean;6,7
LV;Y11_Q40h;All;Mean;2,9
MT;Y11_Q40h;All;Mean;4,7
NL;Y11_Q40h;All;Mean;5,6
PL;Y11_Q40h;All;Mean;3,8
PT;Y11_Q40h;All;Mean;2,8
RO;Y11_Q40h;All;Mean;2,9
SE;Y11_Q40h;All;Mean;6,1
SI;Y11_Q40h;All;Mean;3,2
SK;Y11_Q40h;All;Mean;3,7
UK;Y11_Q40h;All;Mean;3,8
IS;Y11_Q40a;All;Mean;7,3
ME;Y11_Q40a;All;Mean;7,5
MK;Y11_Q40a;All;Mean;6,6
RS;Y11_Q40a;All;Mean;7,2
TR;Y11_Q40a;All;Mean;5,6
XK;Y11_Q40a;All;Mean;6,1
AT;Y11_Q40a;All;Mean;8
BE;Y11_Q40a;All;Mean;7,5
BG;Y11_Q40a;All;Mean;6,7
CY;Y11_Q40a;All;Mean;7,5
CZ;Y11_Q40a;All;Mean;7,3
DE;Y11_Q40a;All;Mean;7,5
DK;Y11_Q40a;All;Mean;8,1
EE;Y11_Q40a;All;Mean;7
EL;Y11_Q40a;All;Mean;6,4
ES;Y11_Q40a;All;Mean;7,5
FI;Y11_Q40a;All;Mean;7,6
FR;Y11_Q40a;All;Mean;7
HR;Y11_Q40a;All;Mean;7
HU;Y11_Q40a;All;Mean;7
IE;Y11_Q40a;All;Mean;7,1
IT;Y11_Q40a;All;Mean;6,8
LT;Y11_Q40a;All;Mean;7,2
LU;Y11_Q40a;All;Mean;7,3
LV;Y11_Q40a;All;Mean;7,1
MT;Y11_Q40a;All;Mean;6,9
NL;Y11_Q40a;All;Mean;7
PL;Y11_Q40a;All;Mean;6,4
PT;Y11_Q40a;All;Mean;7,6
RO;Y11_Q40a;All;Mean;8,2
SE;Y11_Q40a;All;Mean;7,4
SI;Y11_Q40a;All;Mean;6,8
SK;Y11_Q40a;All;Mean;7
UK;Y11_Q40a;All;Mean;7,2
IS;Y11_Q40e;All;Mean;8,4
ME;Y11_Q40e;All;Mean;8,4
MK;Y11_Q40e;All;Mean;7,7
RS;Y11_Q40e;All;Mean;8
TR;Y11_Q40e;All;Mean;8
