CountryCode,question_code,subset,answer,Mean
IS,Y11_Q41,18~24 years,Mean,8.6
ME,Y11_Q41,18~24 years,Mean,8.1
MK,Y11_Q41,18~24 years,Mean,8.1
RS,Y11_Q41,18~24 years,Mean,8
TR,Y11_Q41,18~24 years,Mean,7
XK,Y11_Q41,18~24 years,Mean,6.7
AT,Y11_Q41,18~24 years,Mean,8.1
BE,Y11_Q41,18~24 years,Mean,7.6
BG,Y11_Q41,18~24 years,Mean,7.3
CY,Y11_Q41,18~24 years,Mean,7.6
CZ,Y11_Q41,18~24 years,Mean,7.4
DE,Y11_Q41,18~24 years,Mean,7.5
DK,Y11_Q41,18~24 years,Mean,8
EE,Y11_Q41,18~24 years,Mean,7.5
EL,Y11_Q41,18~24 years,Mean,7
ES,Y11_Q41,18~24 years,Mean,8.2
EuropeanUnion,Y11_Q41,18~24 years,Mean,7.7
FI,Y11_Q41,18~24 years,Mean,8.2
FR,Y11_Q41,18~24 years,Mean,7.9
HR,Y11_Q41,18~24 years,Mean,8.1
HU,Y11_Q41,18~24 years,Mean,7.8
IE,Y11_Q41,18~24 years,Mean,7.5
IT,Y11_Q41,18~24 years,Mean,7.5
LT,Y11_Q41,18~24 years,Mean,8.3
LU,Y11_Q41,18~24 years,Mean,7.8
LV,Y11_Q41,18~24 years,Mean,7.4
MT,Y11_Q41,18~24 years,Mean,7.8
NL,Y11_Q41,18~24 years,Mean,7.9
PL,Y11_Q41,18~24 years,Mean,7.9
PT,Y11_Q41,18~24 years,Mean,8
RO,Y11_Q41,18~24 years,Mean,7.5
SE,Y11_Q41,18~24 years,Mean,7.5
SI,Y11_Q41,18~24 years,Mean,7.8
SK,Y11_Q41,18~24 years,Mean,7.2
UK,Y11_Q41,18~24 years,Mean,7.8
IS,Y11_Q41,25~34 years,Mean,8.2
ME,Y11_Q41,25~34 years,Mean,7.9
MK,Y11_Q41,25~34 years,Mean,7.7
RS,Y11_Q41,25~34 years,Mean,7.6
TR,Y11_Q41,25~34 years,Mean,7
XK,Y11_Q41,25~34 years,Mean,6.2
AT,Y11_Q41,25~34 years,Mean,7.5
BE,Y11_Q41,25~34 years,Mean,7.7
BG,Y11_Q41,25~34 years,Mean,6.9
CY,Y11_Q41,25~34 years,Mean,7.9
CZ,Y11_Q41,25~34 years,Mean,7.7
DE,Y11_Q41,25~34 years,Mean,7.6
DK,Y11_Q41,25~34 years,Mean,8.3
EE,Y11_Q41,25~34 years,Mean,7.2
EL,Y11_Q41,25~34 years,Mean,6.6
ES,Y11_Q41,25~34 years,Mean,8
EuropeanUnion,Y11_Q41,25~34 years,Mean,7.6
FI,Y11_Q41,25~34 years,Mean,8.1
FR,Y11_Q41,25~34 years,Mean,7.6
HR,Y11_Q41,25~34 years,Mean,7.9
HU,Y11_Q41,25~34 years,Mean,7.4
IE,Y11_Q41,25~34 years,Mean,7.5
IT,Y11_Q41,25~34 years,Mean,7.4
LT,Y11_Q41,25~34 years,Mean,7.7
LU,Y11_Q41,25~34 years,Mean,8
LV,Y11_Q41,25~34 years,Mean,7.2
MT,Y11_Q41,25~34 years,Mean,7.4
NL,Y11_Q41,25~34 years,Mean,7.8
PL,Y11_Q41,25~34 years,Mean,7.8
PT,Y11_Q41,25~34 years,Mean,7.7
RO,Y11_Q41,25~34 years,Mean,7.6
SE,Y11_Q41,25~34 years,Mean,7.8
SI,Y11_Q41,25~34 years,Mean,7.5
SK,Y11_Q41,25~34 years,Mean,7.3
UK,Y11_Q41,25~34 years,Mean,7.6
IS,Y11_Q41,35~49 years,Mean,8.3
ME,Y11_Q41,35~49 years,Mean,7.4
MK,Y11_Q41,35~49 years,Mean,7.3
RS,Y11_Q41,35~49 years,Mean,7.3
TR,Y11_Q41,35~49 years,Mean,6.7
XK,Y11_Q41,35~49 years,Mean,6.5
AT,Y11_Q41,35~49 years,Mean,7.4
BE,Y11_Q41,35~49 years,Mean,7.4
BG,Y11_Q41,35~49 years,Mean,6.8
CY,Y11_Q41,35~49 years,Mean,7.8
CZ,Y11_Q41,35~49 years,Mean,7.1
DE,Y11_Q41,35~49 years,Mean,7.5
DK,Y11_Q41,35~49 years,Mean,8.2
EE,Y11_Q41,35~49 years,Mean,6.8
EL,Y11_Q41,35~49 years,Mean,6.6
ES,Y11_Q41,35~49 years,Mean,7.7
EuropeanUnion,Y11_Q41,35~49 years,Mean,7.4
FI,Y11_Q41,35~49 years,Mean,8.3
FR,Y11_Q41,35~49 years,Mean,7.2
HR,Y11_Q41,35~49 years,Mean,7
HU,Y11_Q41,35~49 years,Mean,6.9
IE,Y11_Q41,35~49 years,Mean,7.5
IT,Y11_Q41,35~49 years,Mean,7.1
LT,Y11_Q41,35~49 years,Mean,6.9
LU,Y11_Q41,35~49 years,Mean,7.9
LV,Y11_Q41,35~49 years,Mean,6.8
MT,Y11_Q41,35~49 years,Mean,7.1
NL,Y11_Q41,35~49 years,Mean,7.8
PL,Y11_Q41,35~49 years,Mean,7.4
PT,Y11_Q41,35~49 years,Mean,7.3
RO,Y11_Q41,35~49 years,Mean,7.3
SE,Y11_Q41,35~49 years,Mean,7.6
SI,Y11_Q41,35~49 years,Mean,7.4
SK,Y11_Q41,35~49 years,Mean,7
UK,Y11_Q41,35~49 years,Mean,7.3
IS,Y11_Q41,50~64 years,Mean,8.1
ME,Y11_Q41,50~64 years,Mean,7.8
MK,Y11_Q41,50~64 years,Mean,6.6
RS,Y11_Q41,50~64 years,Mean,6.8
TR,Y11_Q41,50~64 years,Mean,7
XK,Y11_Q41,50~64 years,Mean,6.4
AT,Y11_Q41,50~64 years,Mean,7.9
BE,Y11_Q41,50~64 years,Mean,7.6
BG,Y11_Q41,50~64 years,Mean,5.9
CY,Y11_Q41,50~64 years,Mean,7.5
CZ,Y11_Q41,50~64 years,Mean,6.9
DE,Y11_Q41,50~64 years,Mean,7.3
DK,Y11_Q41,50~64 years,Mean,8.2
EE,Y11_Q41,50~64 years,Mean,6.6
EL,Y11_Q41,50~64 years,Mean,6.4
ES,Y11_Q41,50~64 years,Mean,7.6
EuropeanUnion,Y11_Q41,50~64 years,Mean,7.2
FI,Y11_Q41,50~64 years,Mean,8.1
FR,Y11_Q41,50~64 years,Mean,7.4
HR,Y11_Q41,50~64 years,Mean,7.1
HU,Y11_Q41,50~64 years,Mean,6.4
IE,Y11_Q41,50~64 years,Mean,7.7
IT,Y11_Q41,50~64 years,Mean,7
LT,Y11_Q41,50~64 years,Mean,6.5
LU,Y11_Q41,50~64 years,Mean,7.7
LV,Y11_Q41,50~64 years,Mean,6.2
MT,Y11_Q41,50~64 years,Mean,7.2
NL,Y11_Q41,50~64 years,Mean,7.7
PL,Y11_Q41,50~64 years,Mean,6.8
PT,Y11_Q41,50~64 years,Mean,7.1
RO,Y11_Q41,50~64 years,Mean,6.5
SE,Y11_Q41,50~64 years,Mean,8
SI,Y11_Q41,50~64 years,Mean,6.6
SK,Y11_Q41,50~64 years,Mean,6.7
UK,Y11_Q41,50~64 years,Mean,7.3
IS,Y11_Q41,>64 years,Mean,8.2
ME,Y11_Q41,>64 years,Mean,7.1
MK,Y11_Q41,>64 years,Mean,6.2
RS,Y11_Q41,>64 years,Mean,6.3
TR,Y11_Q41,>64 years,Mean,6.7
XK,Y11_Q41,>64 years,Mean,5
AT,Y11_Q41,>64 years,Mean,7.7
BE,Y11_Q41,>64 years,Mean,7.8
