CountryCode,question_code,subset,answer,Mean
IS,Y11_Q41,1. Lowest,Mean,8
ME,Y11_Q41,1. Lowest,Mean,7.2
MK,Y11_Q41,1. Lowest,Mean,6.1
RS,Y11_Q41,1. Lowest,Mean,6.3
TR,Y11_Q41,1. Lowest,Mean,6.2
XK,Y11_Q41,1. Lowest,Mean,5.2
AT,Y11_Q41,1. Lowest,Mean,7.5
BE,Y11_Q41,1. Lowest,Mean,7.2
BG,Y11_Q41,1. Lowest,Mean,5.1
CY,Y11_Q41,1. Lowest,Mean,7.6
CZ,Y11_Q41,1. Lowest,Mean,6.4
DE,Y11_Q41,1. Lowest,Mean,6.8
DK,Y11_Q41,1. Lowest,Mean,8
EE,Y11_Q41,1. Lowest,Mean,6.1
EL,Y11_Q41,1. Lowest,Mean,5.8
ES,Y11_Q41,1. Lowest,Mean,7.5
FI,Y11_Q41,1. Lowest,Mean,7.8
FR,Y11_Q41,1. Lowest,Mean,6.9
HR,Y11_Q41,1. Lowest,Mean,6.5
HU,Y11_Q41,1. Lowest,Mean,6.4
IE,Y11_Q41,1. Lowest,Mean,7.3
IT,Y11_Q41,1. Lowest,Mean,6.5
LT,Y11_Q41,1. Lowest,Mean,6.2
LU,Y11_Q41,1. Lowest,Mean,7.6
LV,Y11_Q41,1. Lowest,Mean,6
MT,Y11_Q41,1. Lowest,Mean,6.9
NL,Y11_Q41,1. Lowest,Mean,7.5
PL,Y11_Q41,1. Lowest,Mean,6.6
PT,Y11_Q41,1. Lowest,Mean,6.6
RO,Y11_Q41,1. Lowest,Mean,6.2
SE,Y11_Q41,1. Lowest,Mean,7.2
SI,Y11_Q41,1. Lowest,Mean,6.2
SK,Y11_Q41,1. Lowest,Mean,6
UK,Y11_Q41,1. Lowest,Mean,7
IS,Y11_Q41,2. 2nd,Mean,8.3
ME,Y11_Q41,2. 2nd,Mean,7.6
MK,Y11_Q41,2. 2nd,Mean,7
RS,Y11_Q41,2. 2nd,Mean,6.3
TR,Y11_Q41,2. 2nd,Mean,6.9
XK,Y11_Q41,2. 2nd,Mean,6
AT,Y11_Q41,2. 2nd,Mean,7.9
BE,Y11_Q41,2. 2nd,Mean,7.2
BG,Y11_Q41,2. 2nd,Mean,6
CY,Y11_Q41,2. 2nd,Mean,7.2
CZ,Y11_Q41,2. 2nd,Mean,6.8
DE,Y11_Q41,2. 2nd,Mean,7.2
DK,Y11_Q41,2. 2nd,Mean,8.1
EE,Y11_Q41,2. 2nd,Mean,6.7
EL,Y11_Q41,2. 2nd,Mean,6.2
ES,Y11_Q41,2. 2nd,Mean,7.7
FI,Y11_Q41,2. 2nd,Mean,8
FR,Y11_Q41,2. 2nd,Mean,7.4
HR,Y11_Q41,2. 2nd,Mean,7.1
HU,Y11_Q41,2. 2nd,Mean,6.4
IE,Y11_Q41,2. 2nd,Mean,7.6
IT,Y11_Q41,2. 2nd,Mean,6.9
LT,Y11_Q41,2. 2nd,Mean,6.5
LU,Y11_Q41,2. 2nd,Mean,7.9
LV,Y11_Q41,2. 2nd,Mean,6.1
MT,Y11_Q41,2. 2nd,Mean,7
NL,Y11_Q41,2. 2nd,Mean,7.8
PL,Y11_Q41,2. 2nd,Mean,6.9
PT,Y11_Q41,2. 2nd,Mean,7
RO,Y11_Q41,2. 2nd,Mean,6.7
SE,Y11_Q41,2. 2nd,Mean,8
SI,Y11_Q41,2. 2nd,Mean,6.7
SK,Y11_Q41,2. 2nd,Mean,6.6
UK,Y11_Q41,2. 2nd,Mean,7.6
IS,Y11_Q41,3. 3rd,Mean,8.3
