CountryCode;question_code;mean_male;mean_female
IS;Y11_Q41;8,3;7,4
ME;Y11_Q41;7,5;7,5
MK;Y11_Q41;7,1;6,5
RS;Y11_Q41;7,2;7
TR;Y11_Q41;6,9;5,3
XK;Y11_Q41;6,4;5,9
AT;Y11_Q41;7,7;7,7
BE;Y11_Q41;7,5;7,6
BG;Y11_Q41;6,3;6,6
CY;Y11_Q41;7,8;7,6
CZ;Y11_Q41;7,1;7,2
DE;Y11_Q41;7,3;7,5
DK;Y11_Q41;8,2;8
EE;Y11_Q41;6,7;7,2
EL;Y11_Q41;6,5;6,1
ES;Y11_Q41;7,7;7,4
FI;Y11_Q41;8;7,7
FR;Y11_Q41;7,4;6,9
HR;Y11_Q41;7,3;6,8
HU;Y11_Q41;7;6,9
IE;Y11_Q41;7,5;7,4
IT;Y11_Q41;7,2;6,7
LT;Y11_Q41;7;7,1
LU;Y11_Q41;7,9;7,1
LV;Y11_Q41;6,6;7,2
MT;Y11_Q41;7,2;6,9
NL;Y11_Q41;7,7;7
PL;Y11_Q41;7,3;6,3
PT;Y11_Q41;7,3;7,6
RO;Y11_Q41;7,2;8,2
SE;Y11_Q41;7,7;7,5
SI;Y11_Q41;7,1;6,9
SK;Y11_Q41;6,9;6,9
UK;Y11_Q41;7,6;7,2
